rn,video_id,owner_id,manual_category,manual_category_l2,total_vv
1,7c9XeAyWJ1JDxFwTo,1571205583908961,搞笑,逗比,8708531
2,7cdxJmtPJ1JAZoaiD,1571409420107835,情感,两性情感其他,7775326
3,7cOXBHvQJ1JCJs2C5,1573534735080025,搞笑,逗比,7699558
4,7cEQ12bz81JD2ZcGE,1572959777996846,美食,厨艺炫技,7229149
5,77bNgIktK1JCGVofT,1553701981424452,生活,生活随拍,7112292
6,7fT0mTggm1JC5WKAV,1584329309394462,搞笑,恶搞整蛊,7043935
7,7cEQ12bz81JCqEbP4,1572959777996846,工业/机械/施工,工厂加工制作,6982161
8,7efzWE6aJ1JCok8Cr,1578568278348401,工业/机械/施工,工厂加工制作,6759316
9,7geIAyfwg1JCr5JxL,1585562626047292,新闻资讯,社会民生,6665581
10,73nbhiHfx1JCOL83y,1540262321446351,搞笑,剧情段子,6493473
11,77WuKjFki1JCmT0GZ,1556354623385110,搞笑,生活趣事,6477528
12,773zJG1tW1JzaU2bR,1553235181644196,运动,其他,6323761
13,77adl4r461JCn7qKT,1553612264780794,亲子,搞笑儿童,6160218
14,77adHfqN01JCowDRf,1553612592480734,生活,纪实现场拍摄,6096569
15,779R7Y5Bf1JAk3Yl1,1553591916253641,生活,纪实现场拍摄,6049658
16,6ZZLWodc91JC2RCBt,1528367859899877,新时代,公益/互助/环保,5870200
17,781niT3G61JAvNocx,1556631806330886,亲子,亲子互动,5748231
18,7cJopXYQJ1JBjewAj,1573218495861677,搞笑,逗比,5588747
19,7hu2rP6ZU1JBknFcA,1589954437875694,生活,生活随拍,5452238
20,723JGYHGM1JDdoscc,1535636230064616,亲子,搞笑儿童,5420703
21,7f1EDDcmR1JC6F9Xp,1581298989355697,新闻资讯,交通资讯,5372122
22,7hdS1wBt11JC5vmlJ,1589036084182187,长尾才艺,特效炫技,5308272
23,7fOK5UXpA1JD1clJJ,1584087199533294,情感,亲情,5305818
24,7gjiZfvo71JynjuCa,1585823172712747,工业/机械/施工,建筑施工,5272346
25,76OHLiETZ1JDb7fQQ,1552390531157423,生活,生活随拍,5256421
26,76OCRDilA1JBYKzpZ,1552386044069466,搞笑,剧情段子,5194509
27,7efzWE6aJ1JBjO6N5,1578568278348401,生活,新奇好玩,5172715
28,765zvsIEO1JDrZiHH,1549826957469826,情感,亲情,5151139
29,730EgJdqN1JDTqW2q,1538982475423945,汽车/摩托车,摩托车,4997469
30,70ZFIMo161JAmcwPT,1531883776601860,三农,农家生活,4784681
